"Date","Bitcoin","Ethereum","Ripple","Bitfinex","Cardano","NEO","Stellar","Litecoin","EOS","NEM","Petrole","Or","Gaz","Euro","Livre"
"43101","13794","736.77002","1.97","2359.30005","0.70833","75","0.354","227.17","7.69","1.02","60.39","1305.8","3.04","1.2003","1.3515"
"43102","13448","752.46002","2.03","2306.1001","0.70667","78.07","0.4848","225.22","7.63","1.01","60.39","1305.3","3.04","1.2013","1.3507"
"43103","14713","858.78003","2.19","2552.30005","0.76471","90","0.557","253.31","8.3","1.13","60.39","1319","3.04","1.2058","1.3588"
"43104","15150","942.01001","2.72","2557.69995","1.12121","105.29","0.886","244.99","9.43","1.75","61.96","1315.5","3.015","1.2015","1.3515"
"43105","15159","939.29999","2.73","2349.69995","1.13636","101.1","0.6948","238.91","9.47","1.6","61.9","1324.42","2.877","1.2068","1.3552"
"43106","16911","962.77002","2.5","2382.19995","1.01695","94.95","0.6351","246.23","9.29","1.56","61.9","1324.41","2.812","1.2029","1.3552"
"43107","17163","1004.29999","2.65","2529.3999","1.01724","100.79","0.6883","279.42","9.83","1.63","61.9","1324.4","2.838","1.2029","1.3552"
"43108","16216","1115.90002","2.77067","2526.19995","1.00898","101.87","0.7054","272.08","10.16","1.8","61.61","1321.8","2.962","1.2029","1.3572"
"43109","14902","1129.40002","2.4","2400","0.89759","100.79","0.614","255.21","9.6","1.57245","61.92","1321.2","2.906","1.1967","1.357"
"43110","14426","1285.69995","2.05","2370.30005","0.8049","127","0.56762","246.9","9.2294","1.44478","63.41","1313.3","3.137","1.1938","1.3541"
"43111","14895","1245.90002","1.94415","2851","0.78254","123","0.55799","249.01","11.2","1.37217","63.5","1317.5","3.137","1.1946","1.3506"
"43112","13248","1135.09998","1.92446","2433.5","0.68226","107","0.55811","226.9","11.272","1.24599","63.57","1323.6","3.124","1.2033","1.3538"
"43113","13794","1257","2.013","2586.3999","0.89236","123","0.672","235.52","13.8","1.39291","63.57","1323.59","3.117","1.2198","1.3538"
"43114","14190","1379.90002","1.99","2660.5","0.88107","138.5","0.65938","258.44","16","1.44405","64.42","1337.7","3.131","1.2198","1.3538"
"43115","13558","1349.90002","1.82","2518.6001","0.78914","168.33","0.61938","237.89","13.26","1.30482","64.28","1337.3","3.125","1.2198","1.3731"
"43116","13594","1275.80005","1.655","2383.69995","0.77358","180.9","0.5951","232.51","12.78","1.33466","64.43","1337.3","3.251","1.2265","1.3791"
"43117","11059","1019.59998","1.14263","1712.90002","0.60503","138.6","0.43","191.13","10","0.93976","63.89","1339","3.198","1.226","1.3791"
"43118","11101","1020.09998","1.32","1739.69995","0.62293","138.9","0.475","189","10.15","0.9477","64.07","1327.4","3.198","1.2186","1.3831"
"43119","11036","993.91998","1.546","1685.09998","0.64053","138","0.492","192.57","10.182","1.01568","63.74","1327","3.198","1.2236","1.3897"
"43120","11462","1032.59998","1.522","1748.59998","0.64952","139.06","0.5","192.5","11.065","1.07264","63.74","1327.01","3.252","1.2268","1.3897"
"43121","12732","1146.30005","1.56","2013.69995","0.70538","149.98","0.526","210.91","15.547","1.16885","63.74","1327.02","3.254","1.2268","1.3897"
"43122","11519","1047","1.354","1769.5","0.61283","127.37","0.46","191.25","13.44","1.036","63.61","1339.4","3.541","1.2268","1.3881"
"43123","10770","995.26001","1.34","1604.69995","0.56455","119.9","0.47754","179.42","13.386","0.97883","63.88","1338.4","3.439","1.2263","1.3989"
"43124","10811","982.10999","1.3335","1611.09998","0.56354","116.27","0.484","178.27","12.876","0.94088","64.42","1346.2","3.437","1.2299","1.3999"
"43125","11402","1061.80005","1.351","1651.69995","0.63169","135.17","0.56884","180.59","13.95","0.9393","65.88","1362.7","3.437","1.2408","1.4244"
"43126","11144","1048.19995","1.301","1627.30005","0.63577","137.45","0.608","178.86","14.251","0.93564","65.25","1352.7","3.078","1.2395","1.4147"
"43127","11068","1046.90002","1.20599","1595","0.62124","137.01","0.6271","175.71","14.241","0.85935","65.25","1352.69","3.39","1.2427","1.4147"
"43128","11455.1","1114.69995","1.21879","1637","0.62149","139.5","0.611","179.65","14.38","1.03349","66.2","1349","3.187","1.2427","1.4147"
"43129","11836","1245.5","1.37","1760.5","0.64243","148","0.624","191.12","14.758","0.99933","66.18","1353.7","3.165","1.2427","1.4163"
"43130","11215","1174.30005","1.27127","1650.09998","0.5935","162","0.57936","179.57","13.537","0.92721","65.53","1344","2.956","1.2383","1.4074"
"43131","10170","1076.80005","1.1121","1471.40002","0.51071","143.25","0.48752","164.25","11.364","0.79387","64.03","1341.8","2.874","1.2401","1.4148"
"capitalisation","146.22","87.23","33.28","19.86","9.38","7.55","7.2","6.96","6.11","5.09","0","0","0","0","0"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
