Date,Bitcoin,Ethereum,Ripple,Bitfinex,Cardano,NEO,Stellar,Litecoin,EOS,NEM,Petrole,Or,Gaz,Euro,Livre
1-1-2018,13794,736.77002,1970,2359.30005,3541.65,750,3540,4543.4,3845,5100,6039,1305.8,3040,1.2003,1.3515
2-1-2018,13448,752.46002,2030,2306.1001,3533.35,780.7,4848,4504.4,3815,5050,6039,1305.3,3040,1.2013,1.3507
3-1-2018,14713,858.78003,2190,2552.30005,3823.55,900,5570,5066.2,4150,5650,6039,1319,3040,1.2058,1.3588
4-1-2018,15150,942.01001,2720,2557.69995,5606.05,1052.9,8860,4899.8,4715,8750,6196,1315.5,3015,1.2015,1.3515
5-1-2018,15159,939.29999,2730,2349.69995,5681.8,1011,6948,4778.2,4735,8000,6190,1324.42,2877,1.2068,1.3552
6-1-2018,16911,962.77002,2500,2382.19995,5084.75,949.5,6351,4924.6,4645,7800,6190,1324.41,2812,1.2029,1.3552
7-1-2018,17163,1004.29999,2650,2529.3999,5086.2,1007.9,6883,5588.4,4915,8150,6190,1324.4,2838,1.2029,1.3552
8-1-2018,16216,1115.90002,2770.67,2526.19995,5044.9,1018.7,7054,5441.6,5080,9000,6161,1321.8,2962,1.2029,1.3572
9-1-2018,14902,1129.40002,2400,2400,4487.95,1007.9,6140,5104.2,4800,7862.25,6192,1321.2,2906,1.1967,1.357
10-1-2018,14426,1285.69995,2050,2370.30005,4024.5,1270,5676.2,4938,4614.7,7223.9,6341,1313.3,3137,1.1938,1.3541
11-1-2018,14895,1245.90002,1944.15,2851,3912.7,1230,5579.9,4980.2,5600,6860.85,6350,1317.5,3137,1.1946,1.3506
12-1-2018,13248,1135.09998,1924.46,2433.5,3411.3,1070,5581.1,4538,5636,6229.95,6357,1323.6,3124,1.2033,1.3538
13-01-2018,13794,1257,2013,2586.3999,4461.8,1230,6720,4710.4,6900,6964.55,6357,1323.59,3117,1.2198,1.3538
14-01-2018,14190,1379.90002,1990,2660.5,4405.35,1385,6593.8,5168.8,8000,7220.25,6442,1337.7,3131,1.2198,1.3538
15-01-2018,13558,1349.90002,1820,2518.6001,3945.7,1683.3,6193.8,4757.8,6630,6524.1,6428,1337.3,3125,1.2198,1.3538
16-01-2018,13594,1275.80005,1655,2383.69995,3867.9,1809,5951,4650.2,6390,6673.3,6443,1337.3,3251,1.2265,1.3538
17-01-2018,11059,1019.59998,1142.63,1712.90002,3025.15,1386,4300,3822.6,5000,4698.8,6389,1339,3198,1.226,1.3538
18-01-2018,11101,1020.09998,1320,1739.69995,3114.65,1389,4750,3780,5075,4738.5,6407,1327.4,3198,1.2186,1.3538
19-01-2018,11036,993.91998,1546,1685.09998,3202.65,1380,4920,3851.4,5091,5078.4,6374,1327,3198,1.2236,1.3538
20-01-2018,11462,1032.59998,1522,1748.59998,3247.6,1390.6,5000,3850,5532.5,5363.2,6374,1327.01,3252,1.2268,1.3538
21-01-2018,12732,1146.30005,1560,2013.69995,3526.9,1499.8,5260,4218.2,7773.5,5844.25,6374,1327.02,3254,1.2268,1.3538
22-01-2018,11519,1047,1354,1769.5,3064.15,1273.7,4600,3825,6720,5180,6361,1339.4,3541,1.2268,1.3538
23-01-2018,10770,995.26001,1340,1604.69995,2822.75,1199,4775.4,3588.4,6693,4894.15,6388,1338.4,3439,1.2263,1.3538
24-01-2018,10811,982.10999,1333.5,1611.09998,2817.7,1162.7,4840,3565.4,6438,4704.4,6442,1346.2,3437,1.2299,1.3538
25-01-2018,11402,1061.80005,1351,1651.69995,3158.45,1351.7,5688.4,3611.8,6975,4696.5,6588,1362.7,3437,1.2408,1.3538
26-01-2018,11144,1048.19995,1301,1627.30005,3178.85,1374.5,6080,3577.2,7125.5,4678.2,6525,1352.7,3078,1.2395,1.3538
27-01-2018,11068,1046.90002,1205.99,1595,3106.2,1370.1,6271,3514.2,7120.5,4296.75,6525,1352.69,3390,1.2427,1.3538
28-01-2018,11455.1,1114.69995,1218.79,1637,3107.45,1395,6110,3593,7190,5167.45,6620,1349,3187,1.2427,1.3538
29-01-2018,11836,1245.5,1370,1760.5,3212.15,1480,6240,3822.4,7379,4996.65,6618,1353.7,3165,1.2427,1.3538
30-01-2018,11215,1174.30005,1271.27,1650.09998,2967.5,1620,5793.6,3591.4,6768.5,4636.05,6553,1344,2956,1.2383,1.3538
31-01-2018,10170,1076.80005,1112.1,1471.40002,2553.55,1432.5,4875.2,3285,5682,3969.35,6403,1341.8,2874,1.2401,1.3538
